complaint_id,complaint_text,date,product_version,customer_type,platform,category
ECOM-2001,Order got cancelled automatically after successful payment.,2024-11-29,v3.0,Free,Web,Payment Failure
ECOM-2002,Search results are inaccurate after the latest update.,2024-09-06,v2.0,Free,iOS,UI Bug
ECOM-2003,The app freezes while browsing product categories.,2024-09-01,v2.1,Free,iOS,Search & Filter Issue
ECOM-2004,Items disappear from the cart after app update.,2024-10-25,v1.1,Free,Android,UI Bug
ECOM-2005,Tracking information is not updating properly.,2024-09-24,v1.1,Free,iOS,Search & Filter Issue
ECOM-2006,The app freezes while browsing product categories.,2024-11-19,v2.0,Paid,Android,Delivery Delay
ECOM-2007,Search results are inaccurate after the latest update.,2024-11-02,v3.0,Free,iOS,Order Cancellation
ECOM-2008,App crashes when trying to place an order.,2024-10-12,v3.0,Paid,iOS,Delivery Delay
ECOM-2009,Payment failed after entering card details during checkout.,2024-10-19,v2.1,Free,Android,Delivery Delay
ECOM-2010,Order got cancelled automatically after successful payment.,2024-11-20,v3.0,Paid,Android,Delivery Delay
ECOM-2011,The app freezes while browsing product categories.,2024-11-27,v2.0,Paid,Android,Refund Issue
ECOM-2012,Tracking information is not updating properly.,2024-11-30,v3.0,Free,Web,Refund Issue
ECOM-2013,Search results are inaccurate after the latest update.,2024-09-16,v3.0,Free,Web,App Crash
ECOM-2014,The app freezes while browsing product categories.,2024-11-07,v1.2,Paid,Web,App Crash
ECOM-2015,Items disappear from the cart after app update.,2024-11-29,v1.1,Free,iOS,Payment Failure
ECOM-2016,Refund has not been received even after 10 days.,2024-10-26,v2.0,Paid,iOS,Payment Failure
ECOM-2017,Order got cancelled automatically after successful payment.,2024-10-07,v1.1,Paid,Web,Cart Issue
ECOM-2018,Delivery is delayed beyond the promised date.,2024-10-07,v1.1,Free,iOS,UI Bug
ECOM-2019,Search results are inaccurate after the latest update.,2024-09-05,v3.0,Free,Web,App Crash
ECOM-2020,App crashes when trying to place an order.,2024-11-09,v1.1,Paid,Web,Cart Issue
ECOM-2021,Unable to apply discount coupon at checkout.,2024-09-24,v2.1,Free,Web,Delivery Delay
ECOM-2022,Order got cancelled automatically after successful payment.,2024-10-12,v1.1,Paid,iOS,Refund Issue
ECOM-2023,Items disappear from the cart after app update.,2024-09-14,v2.0,Paid,Web,Cart Issue
ECOM-2024,App crashes when trying to place an order.,2024-10-13,v1.1,Free,iOS,UI Bug
ECOM-2025,Order got cancelled automatically after successful payment.,2024-11-03,v1.2,Paid,Web,UI Bug
ECOM-2026,Search results are inaccurate after the latest update.,2024-09-05,v1.0,Free,iOS,UI Bug
ECOM-2027,Unable to apply discount coupon at checkout.,2024-10-31,v1.1,Free,Web,Order Cancellation
ECOM-2028,Items disappear from the cart after app update.,2024-10-18,v1.2,Paid,Android,Order Cancellation
ECOM-2029,Search results are inaccurate after the latest update.,2024-10-04,v2.1,Paid,Web,Refund Issue
ECOM-2030,Refund has not been received even after 10 days.,2024-11-26,v2.0,Free,iOS,Order Cancellation
ECOM-2031,Tracking information is not updating properly.,2024-11-29,v2.1,Paid,iOS,Search & Filter Issue
ECOM-2032,The app freezes while browsing product categories.,2024-10-23,v1.0,Free,iOS,Delivery Delay
ECOM-2033,Items disappear from the cart after app update.,2024-09-07,v1.0,Paid,Android,Payment Failure
ECOM-2034,Tracking information is not updating properly.,2024-10-16,v3.0,Paid,Web,Order Cancellation
ECOM-2035,The app freezes while browsing product categories.,2024-09-10,v2.1,Paid,Android,Order Cancellation
ECOM-2036,Tracking information is not updating properly.,2024-10-28,v1.0,Paid,Web,Delivery Delay
ECOM-2037,Refund has not been received even after 10 days.,2024-09-02,v2.0,Paid,iOS,Refund Issue
ECOM-2038,Tracking information is not updating properly.,2024-09-26,v1.1,Free,Android,UI Bug
ECOM-2039,Order got cancelled automatically after successful payment.,2024-10-25,v3.0,Paid,Android,UI Bug
ECOM-2040,Unable to apply discount coupon at checkout.,2024-10-15,v1.1,Paid,iOS,Order Cancellation
ECOM-2041,Order got cancelled automatically after successful payment.,2024-11-17,v3.0,Paid,iOS,Search & Filter Issue
ECOM-2042,Payment failed after entering card details during checkout.,2024-09-02,v1.1,Free,Web,Order Cancellation
ECOM-2043,Search results are inaccurate after the latest update.,2024-09-03,v3.0,Free,Web,Search & Filter Issue
ECOM-2044,App crashes when trying to place an order.,2024-10-07,v2.0,Paid,iOS,App Crash
ECOM-2045,Order got cancelled automatically after successful payment.,2024-11-04,v1.2,Free,Android,App Crash
ECOM-2046,Items disappear from the cart after app update.,2024-11-08,v2.1,Paid,iOS,App Crash
ECOM-2047,Tracking information is not updating properly.,2024-09-10,v2.0,Free,Web,UI Bug
ECOM-2048,App crashes when trying to place an order.,2024-10-12,v1.0,Paid,Web,App Crash
ECOM-2049,Items disappear from the cart after app update.,2024-11-25,v3.0,Paid,Android,Cart Issue
ECOM-2050,Unable to apply discount coupon at checkout.,2024-10-07,v1.0,Paid,iOS,App Crash
ECOM-2051,Payment failed after entering card details during checkout.,2024-10-23,v2.0,Free,Android,UI Bug
ECOM-2052,Order got cancelled automatically after successful payment.,2024-10-10,v3.0,Paid,iOS,Payment Failure
ECOM-2053,Unable to apply discount coupon at checkout.,2024-09-01,v2.1,Paid,Web,App Crash
ECOM-2054,Unable to apply discount coupon at checkout.,2024-09-26,v3.0,Free,iOS,Cart Issue
ECOM-2055,Search results are inaccurate after the latest update.,2024-10-09,v2.0,Free,Web,Order Cancellation
ECOM-2056,The app freezes while browsing product categories.,2024-10-07,v1.1,Free,Web,Search & Filter Issue
ECOM-2057,Order got cancelled automatically after successful payment.,2024-11-13,v2.0,Paid,iOS,Payment Failure
ECOM-2058,Payment failed after entering card details during checkout.,2024-09-17,v1.0,Paid,iOS,App Crash
ECOM-2059,Items disappear from the cart after app update.,2024-11-04,v3.0,Free,iOS,UI Bug
ECOM-2060,Delivery is delayed beyond the promised date.,2024-09-05,v2.1,Free,Android,UI Bug
ECOM-2061,Items disappear from the cart after app update.,2024-09-05,v1.2,Paid,Web,App Crash
ECOM-2062,App crashes when trying to place an order.,2024-09-11,v2.1,Free,Web,App Crash
ECOM-2063,Delivery is delayed beyond the promised date.,2024-09-25,v1.1,Free,Android,Delivery Delay
ECOM-2064,Refund has not been received even after 10 days.,2024-11-14,v1.0,Free,Web,UI Bug
ECOM-2065,Order got cancelled automatically after successful payment.,2024-11-03,v2.1,Free,Web,UI Bug
ECOM-2066,Refund has not been received even after 10 days.,2024-10-04,v2.1,Paid,Android,App Crash
ECOM-2067,Unable to apply discount coupon at checkout.,2024-10-21,v3.0,Paid,Android,UI Bug
ECOM-2068,Delivery is delayed beyond the promised date.,2024-10-22,v2.1,Paid,Web,Refund Issue
ECOM-2069,Delivery is delayed beyond the promised date.,2024-09-26,v1.2,Paid,iOS,Order Cancellation
ECOM-2070,The app freezes while browsing product categories.,2024-10-20,v1.2,Free,iOS,App Crash
ECOM-2071,Delivery is delayed beyond the promised date.,2024-11-17,v1.2,Free,Android,Cart Issue
ECOM-2072,Payment failed after entering card details during checkout.,2024-10-26,v3.0,Free,Android,Order Cancellation
ECOM-2073,Unable to apply discount coupon at checkout.,2024-10-28,v1.0,Paid,iOS,Order Cancellation
ECOM-2074,Tracking information is not updating properly.,2024-09-09,v3.0,Paid,Web,App Crash
ECOM-2075,Tracking information is not updating properly.,2024-09-01,v2.0,Free,Android,Delivery Delay
ECOM-2076,Tracking information is not updating properly.,2024-09-11,v1.0,Free,Web,Search & Filter Issue
ECOM-2077,The app freezes while browsing product categories.,2024-11-06,v2.1,Paid,Web,UI Bug
ECOM-2078,App crashes when trying to place an order.,2024-10-13,v2.0,Paid,iOS,Payment Failure
ECOM-2079,Delivery is delayed beyond the promised date.,2024-11-08,v2.1,Free,Web,Cart Issue
ECOM-2080,Delivery is delayed beyond the promised date.,2024-09-07,v2.1,Paid,iOS,Payment Failure
ECOM-2081,Tracking information is not updating properly.,2024-10-16,v2.1,Paid,Web,Cart Issue
ECOM-2082,Delivery is delayed beyond the promised date.,2024-09-27,v1.2,Free,Android,UI Bug
ECOM-2083,Items disappear from the cart after app update.,2024-10-29,v1.0,Free,Android,Delivery Delay
ECOM-2084,Payment failed after entering card details during checkout.,2024-10-08,v3.0,Paid,iOS,Order Cancellation
ECOM-2085,Refund has not been received even after 10 days.,2024-11-28,v1.0,Free,Web,Payment Failure
ECOM-2086,Delivery is delayed beyond the promised date.,2024-09-27,v2.1,Free,Android,Cart Issue
ECOM-2087,Delivery is delayed beyond the promised date.,2024-09-26,v1.2,Free,iOS,Delivery Delay
ECOM-2088,The app freezes while browsing product categories.,2024-11-18,v1.1,Free,Web,Delivery Delay
ECOM-2089,Unable to apply discount coupon at checkout.,2024-10-13,v1.0,Free,Web,UI Bug
ECOM-2090,Payment failed after entering card details during checkout.,2024-11-15,v2.0,Free,iOS,Cart Issue
ECOM-2091,App crashes when trying to place an order.,2024-11-25,v3.0,Paid,Android,App Crash
ECOM-2092,Search results are inaccurate after the latest update.,2024-09-28,v1.2,Paid,iOS,Refund Issue
ECOM-2093,Items disappear from the cart after app update.,2024-11-16,v1.0,Paid,iOS,Order Cancellation
ECOM-2094,The app freezes while browsing product categories.,2024-09-19,v2.1,Paid,Web,Refund Issue
ECOM-2095,App crashes when trying to place an order.,2024-10-18,v1.1,Paid,iOS,Cart Issue
ECOM-2096,Unable to apply discount coupon at checkout.,2024-11-30,v2.1,Free,iOS,Cart Issue
ECOM-2097,Delivery is delayed beyond the promised date.,2024-10-17,v1.0,Paid,Android,Payment Failure
ECOM-2098,Unable to apply discount coupon at checkout.,2024-11-28,v3.0,Paid,Android,Cart Issue
ECOM-2099,Refund has not been received even after 10 days.,2024-10-17,v1.0,Free,Web,App Crash
ECOM-2100,The app freezes while browsing product categories.,2024-09-10,v3.0,Paid,Android,Payment Failure
ECOM-2101,Refund has not been received even after 10 days.,2024-11-29,v1.1,Free,iOS,Search & Filter Issue
ECOM-2102,Order got cancelled automatically after successful payment.,2024-09-04,v2.1,Free,iOS,UI Bug
ECOM-2103,App crashes when trying to place an order.,2024-11-29,v2.1,Free,Android,Cart Issue
ECOM-2104,Payment failed after entering card details during checkout.,2024-11-04,v2.0,Paid,iOS,Order Cancellation
ECOM-2105,Items disappear from the cart after app update.,2024-09-05,v3.0,Paid,iOS,Order Cancellation
ECOM-2106,Items disappear from the cart after app update.,2024-09-30,v1.0,Free,Web,Refund Issue
ECOM-2107,Refund has not been received even after 10 days.,2024-10-19,v2.1,Paid,iOS,Delivery Delay
ECOM-2108,App crashes when trying to place an order.,2024-10-19,v1.0,Paid,iOS,UI Bug
ECOM-2109,Delivery is delayed beyond the promised date.,2024-09-17,v2.1,Free,Web,App Crash
ECOM-2110,Items disappear from the cart after app update.,2024-09-25,v2.1,Free,Android,Order Cancellation
ECOM-2111,Tracking information is not updating properly.,2024-11-14,v1.0,Free,Web,Order Cancellation
ECOM-2112,The app freezes while browsing product categories.,2024-11-24,v1.1,Free,Web,Refund Issue
ECOM-2113,Refund has not been received even after 10 days.,2024-10-11,v2.0,Paid,iOS,UI Bug
ECOM-2114,Tracking information is not updating properly.,2024-10-06,v2.0,Free,Android,UI Bug
ECOM-2115,The app freezes while browsing product categories.,2024-09-04,v1.0,Paid,Android,App Crash
ECOM-2116,Refund has not been received even after 10 days.,2024-10-27,v1.0,Paid,iOS,Search & Filter Issue
ECOM-2117,Refund has not been received even after 10 days.,2024-11-30,v2.0,Paid,iOS,Delivery Delay
ECOM-2118,Search results are inaccurate after the latest update.,2024-11-24,v2.0,Free,Android,Refund Issue
ECOM-2119,Payment failed after entering card details during checkout.,2024-11-05,v1.0,Paid,Android,Delivery Delay
ECOM-2120,The app freezes while browsing product categories.,2024-10-16,v1.2,Paid,iOS,Delivery Delay
ECOM-2121,Tracking information is not updating properly.,2024-09-15,v1.2,Paid,iOS,Delivery Delay
ECOM-2122,Delivery is delayed beyond the promised date.,2024-10-14,v1.0,Free,Android,UI Bug
ECOM-2123,The app freezes while browsing product categories.,2024-09-26,v1.1,Free,iOS,App Crash
ECOM-2124,Delivery is delayed beyond the promised date.,2024-11-15,v2.0,Free,Android,Cart Issue
ECOM-2125,App crashes when trying to place an order.,2024-10-28,v1.2,Paid,Web,Order Cancellation
ECOM-2126,Unable to apply discount coupon at checkout.,2024-09-05,v2.1,Free,iOS,Refund Issue
ECOM-2127,Order got cancelled automatically after successful payment.,2024-11-07,v1.2,Paid,Web,Order Cancellation
ECOM-2128,Items disappear from the cart after app update.,2024-11-23,v2.0,Free,Web,Payment Failure
ECOM-2129,App crashes when trying to place an order.,2024-10-14,v1.0,Paid,iOS,Search & Filter Issue
ECOM-2130,The app freezes while browsing product categories.,2024-10-20,v2.0,Paid,Android,Order Cancellation
ECOM-2131,Order got cancelled automatically after successful payment.,2024-11-09,v1.0,Free,Android,Payment Failure
ECOM-2132,Order got cancelled automatically after successful payment.,2024-10-30,v3.0,Paid,Android,Delivery Delay
ECOM-2133,Tracking information is not updating properly.,2024-10-31,v1.2,Paid,iOS,App Crash
ECOM-2134,Unable to apply discount coupon at checkout.,2024-11-09,v1.0,Free,Web,Cart Issue
ECOM-2135,Items disappear from the cart after app update.,2024-09-09,v3.0,Paid,Android,App Crash
ECOM-2136,Search results are inaccurate after the latest update.,2024-11-29,v1.0,Free,iOS,Refund Issue
ECOM-2137,The app freezes while browsing product categories.,2024-11-17,v2.0,Paid,Android,Payment Failure
ECOM-2138,Search results are inaccurate after the latest update.,2024-11-24,v2.0,Paid,Android,UI Bug
ECOM-2139,App crashes when trying to place an order.,2024-11-21,v1.2,Free,Android,App Crash
ECOM-2140,The app freezes while browsing product categories.,2024-09-03,v2.0,Free,iOS,Refund Issue
ECOM-2141,Unable to apply discount coupon at checkout.,2024-09-01,v2.0,Paid,Web,Refund Issue
ECOM-2142,Delivery is delayed beyond the promised date.,2024-09-14,v2.1,Free,Web,App Crash
ECOM-2143,Search results are inaccurate after the latest update.,2024-10-16,v1.1,Paid,Web,App Crash
ECOM-2144,Order got cancelled automatically after successful payment.,2024-11-09,v1.0,Free,iOS,Delivery Delay
ECOM-2145,Order got cancelled automatically after successful payment.,2024-10-17,v1.0,Paid,Android,UI Bug
ECOM-2146,Search results are inaccurate after the latest update.,2024-11-27,v1.1,Paid,Web,UI Bug
ECOM-2147,The app freezes while browsing product categories.,2024-11-03,v2.1,Paid,Web,Refund Issue
ECOM-2148,Items disappear from the cart after app update.,2024-09-13,v2.1,Paid,iOS,Search & Filter Issue
ECOM-2149,Refund has not been received even after 10 days.,2024-11-04,v1.0,Free,Android,Delivery Delay
ECOM-2150,Items disappear from the cart after app update.,2024-10-11,v1.0,Free,Web,App Crash
ECOM-2151,Delivery is delayed beyond the promised date.,2024-10-08,v2.0,Free,Web,Order Cancellation
ECOM-2152,Order got cancelled automatically after successful payment.,2024-10-10,v2.0,Paid,iOS,Refund Issue
ECOM-2153,App crashes when trying to place an order.,2024-10-05,v1.0,Paid,Android,Refund Issue
ECOM-2154,Order got cancelled automatically after successful payment.,2024-09-29,v3.0,Free,Web,Cart Issue
ECOM-2155,Delivery is delayed beyond the promised date.,2024-09-29,v1.1,Free,Web,Order Cancellation
ECOM-2156,Refund has not been received even after 10 days.,2024-11-13,v2.1,Free,Web,Order Cancellation
ECOM-2157,App crashes when trying to place an order.,2024-10-15,v1.1,Free,Web,UI Bug
ECOM-2158,Search results are inaccurate after the latest update.,2024-11-11,v1.1,Paid,Web,Refund Issue
ECOM-2159,Order got cancelled automatically after successful payment.,2024-09-10,v2.1,Free,Web,Delivery Delay
ECOM-2160,Delivery is delayed beyond the promised date.,2024-11-15,v1.0,Free,iOS,Refund Issue
ECOM-2161,Refund has not been received even after 10 days.,2024-09-26,v2.0,Free,Android,Cart Issue
ECOM-2162,The app freezes while browsing product categories.,2024-10-23,v2.0,Free,iOS,Search & Filter Issue
ECOM-2163,Tracking information is not updating properly.,2024-10-08,v1.1,Free,iOS,Search & Filter Issue
ECOM-2164,Payment failed after entering card details during checkout.,2024-11-25,v2.0,Paid,Web,App Crash
ECOM-2165,Items disappear from the cart after app update.,2024-09-03,v1.0,Free,Android,Order Cancellation
ECOM-2166,Unable to apply discount coupon at checkout.,2024-09-23,v1.1,Paid,iOS,Cart Issue
ECOM-2167,The app freezes while browsing product categories.,2024-11-03,v1.1,Free,Web,Search & Filter Issue
ECOM-2168,Delivery is delayed beyond the promised date.,2024-10-11,v1.0,Paid,iOS,Search & Filter Issue
ECOM-2169,Tracking information is not updating properly.,2024-09-06,v1.2,Paid,Web,Refund Issue
ECOM-2170,Unable to apply discount coupon at checkout.,2024-11-19,v3.0,Free,Android,Delivery Delay
ECOM-2171,App crashes when trying to place an order.,2024-09-08,v1.1,Paid,Web,App Crash
ECOM-2172,Items disappear from the cart after app update.,2024-09-05,v2.0,Paid,Web,Payment Failure
ECOM-2173,Refund has not been received even after 10 days.,2024-10-10,v2.0,Paid,Android,Payment Failure
ECOM-2174,Order got cancelled automatically after successful payment.,2024-09-13,v2.0,Free,iOS,Search & Filter Issue
ECOM-2175,Tracking information is not updating properly.,2024-10-04,v1.2,Paid,Web,UI Bug
ECOM-2176,App crashes when trying to place an order.,2024-09-02,v1.0,Paid,Web,UI Bug
ECOM-2177,Items disappear from the cart after app update.,2024-10-27,v2.1,Paid,Android,Delivery Delay
ECOM-2178,Delivery is delayed beyond the promised date.,2024-09-04,v1.1,Free,iOS,App Crash
ECOM-2179,Unable to apply discount coupon at checkout.,2024-10-22,v3.0,Paid,iOS,Search & Filter Issue
ECOM-2180,The app freezes while browsing product categories.,2024-09-24,v2.1,Paid,Web,Delivery Delay
ECOM-2181,Order got cancelled automatically after successful payment.,2024-09-12,v3.0,Free,Web,Cart Issue
ECOM-2182,The app freezes while browsing product categories.,2024-10-08,v1.1,Paid,Web,Search & Filter Issue
ECOM-2183,Unable to apply discount coupon at checkout.,2024-09-27,v1.0,Paid,Web,Order Cancellation
ECOM-2184,Tracking information is not updating properly.,2024-10-25,v2.1,Free,Web,UI Bug
ECOM-2185,The app freezes while browsing product categories.,2024-11-28,v2.1,Free,Android,App Crash
ECOM-2186,The app freezes while browsing product categories.,2024-11-11,v2.1,Paid,Android,App Crash
ECOM-2187,App crashes when trying to place an order.,2024-09-17,v1.0,Paid,Web,App Crash
ECOM-2188,Order got cancelled automatically after successful payment.,2024-10-13,v3.0,Free,Web,Cart Issue
ECOM-2189,Order got cancelled automatically after successful payment.,2024-10-12,v1.1,Free,Web,App Crash
ECOM-2190,Order got cancelled automatically after successful payment.,2024-09-11,v2.0,Free,iOS,Payment Failure
ECOM-2191,Refund has not been received even after 10 days.,2024-11-06,v2.0,Paid,Web,Delivery Delay
ECOM-2192,Refund has not been received even after 10 days.,2024-09-02,v1.0,Free,Android,App Crash
ECOM-2193,Payment failed after entering card details during checkout.,2024-09-24,v1.0,Paid,Web,Refund Issue
ECOM-2194,App crashes when trying to place an order.,2024-11-18,v3.0,Paid,Android,Order Cancellation
ECOM-2195,Items disappear from the cart after app update.,2024-10-11,v3.0,Paid,Web,Refund Issue
ECOM-2196,Tracking information is not updating properly.,2024-09-10,v2.1,Paid,Android,Delivery Delay
ECOM-2197,Unable to apply discount coupon at checkout.,2024-11-25,v2.1,Paid,Android,Delivery Delay
ECOM-2198,Order got cancelled automatically after successful payment.,2024-09-13,v1.2,Free,iOS,Payment Failure
ECOM-2199,App crashes when trying to place an order.,2024-11-01,v3.0,Paid,iOS,App Crash
ECOM-2200,The app freezes while browsing product categories.,2024-11-04,v2.1,Free,Web,Payment Failure
ECOM-2201,Payment failed after entering card details during checkout.,2024-09-16,v2.0,Free,iOS,Delivery Delay
ECOM-2202,The app freezes while browsing product categories.,2024-11-06,v1.2,Free,Android,App Crash
ECOM-2203,Refund has not been received even after 10 days.,2024-10-29,v3.0,Free,Web,Cart Issue
ECOM-2204,Payment failed after entering card details during checkout.,2024-09-09,v1.0,Free,Android,Order Cancellation
ECOM-2205,Items disappear from the cart after app update.,2024-11-01,v1.1,Paid,Android,Order Cancellation
ECOM-2206,App crashes when trying to place an order.,2024-09-21,v2.1,Paid,iOS,Refund Issue
ECOM-2207,Items disappear from the cart after app update.,2024-11-19,v1.2,Free,iOS,Order Cancellation
ECOM-2208,Unable to apply discount coupon at checkout.,2024-10-18,v1.1,Free,Web,UI Bug
ECOM-2209,The app freezes while browsing product categories.,2024-11-23,v1.2,Free,iOS,Payment Failure
ECOM-2210,Payment failed after entering card details during checkout.,2024-11-05,v1.0,Free,Android,UI Bug
ECOM-2211,App crashes when trying to place an order.,2024-09-10,v1.1,Paid,Web,Delivery Delay
ECOM-2212,Items disappear from the cart after app update.,2024-11-10,v1.2,Paid,Android,Cart Issue
ECOM-2213,The app freezes while browsing product categories.,2024-10-06,v1.0,Paid,Web,Refund Issue
ECOM-2214,Delivery is delayed beyond the promised date.,2024-09-19,v1.1,Paid,iOS,Payment Failure
ECOM-2215,App crashes when trying to place an order.,2024-09-25,v2.0,Paid,iOS,Cart Issue
ECOM-2216,App crashes when trying to place an order.,2024-11-14,v1.0,Paid,Android,Refund Issue
ECOM-2217,Order got cancelled automatically after successful payment.,2024-10-27,v1.0,Free,Web,Cart Issue
ECOM-2218,Unable to apply discount coupon at checkout.,2024-10-26,v1.1,Paid,Web,Cart Issue
ECOM-2219,Unable to apply discount coupon at checkout.,2024-11-05,v3.0,Free,Android,Cart Issue
ECOM-2220,Order got cancelled automatically after successful payment.,2024-09-28,v1.0,Paid,Android,Delivery Delay
ECOM-2221,App crashes when trying to place an order.,2024-11-28,v2.1,Paid,iOS,Cart Issue
ECOM-2222,Unable to apply discount coupon at checkout.,2024-11-26,v2.1,Free,Web,Search & Filter Issue
ECOM-2223,Refund has not been received even after 10 days.,2024-11-28,v2.1,Free,Web,Delivery Delay
ECOM-2224,Delivery is delayed beyond the promised date.,2024-09-11,v1.1,Free,Web,UI Bug
ECOM-2225,Order got cancelled automatically after successful payment.,2024-09-20,v1.1,Paid,Web,Search & Filter Issue
ECOM-2226,The app freezes while browsing product categories.,2024-09-08,v3.0,Free,Android,App Crash
ECOM-2227,App crashes when trying to place an order.,2024-10-29,v2.0,Paid,Web,Delivery Delay
ECOM-2228,Delivery is delayed beyond the promised date.,2024-11-29,v1.1,Paid,Web,Cart Issue
ECOM-2229,Order got cancelled automatically after successful payment.,2024-11-28,v1.2,Free,Android,Search & Filter Issue
ECOM-2230,Payment failed after entering card details during checkout.,2024-11-04,v2.0,Free,Web,Cart Issue
ECOM-2231,The app freezes while browsing product categories.,2024-11-10,v2.0,Paid,iOS,Search & Filter Issue
ECOM-2232,Items disappear from the cart after app update.,2024-11-10,v1.2,Free,Android,Cart Issue
ECOM-2233,Order got cancelled automatically after successful payment.,2024-09-26,v1.2,Paid,Web,App Crash
ECOM-2234,Search results are inaccurate after the latest update.,2024-11-25,v3.0,Paid,Android,UI Bug
ECOM-2235,App crashes when trying to place an order.,2024-11-20,v1.2,Free,Android,Cart Issue
ECOM-2236,The app freezes while browsing product categories.,2024-10-06,v2.1,Paid,Android,Cart Issue
ECOM-2237,Unable to apply discount coupon at checkout.,2024-10-22,v1.2,Free,Android,UI Bug
ECOM-2238,Search results are inaccurate after the latest update.,2024-11-14,v1.2,Free,Android,Payment Failure
ECOM-2239,Search results are inaccurate after the latest update.,2024-10-13,v1.1,Free,Web,Payment Failure
ECOM-2240,Refund has not been received even after 10 days.,2024-11-09,v2.1,Free,Android,UI Bug
ECOM-2241,App crashes when trying to place an order.,2024-09-28,v3.0,Paid,Web,Refund Issue
ECOM-2242,Tracking information is not updating properly.,2024-11-04,v3.0,Free,Web,Refund Issue
ECOM-2243,Items disappear from the cart after app update.,2024-11-05,v2.1,Free,Web,Delivery Delay
ECOM-2244,App crashes when trying to place an order.,2024-09-10,v2.1,Free,Web,Search & Filter Issue
ECOM-2245,Payment failed after entering card details during checkout.,2024-10-17,v3.0,Paid,iOS,Search & Filter Issue
ECOM-2246,The app freezes while browsing product categories.,2024-09-26,v3.0,Free,Web,Delivery Delay
ECOM-2247,Items disappear from the cart after app update.,2024-10-21,v2.1,Free,iOS,App Crash
ECOM-2248,The app freezes while browsing product categories.,2024-11-14,v3.0,Free,Web,Refund Issue
ECOM-2249,Refund has not been received even after 10 days.,2024-10-07,v1.0,Free,Android,Refund Issue
ECOM-2250,Unable to apply discount coupon at checkout.,2024-09-08,v1.1,Paid,iOS,Search & Filter Issue
